2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_132428_1572376684.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_132466_1484496378.gif
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_138729_1580446823.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_142266_1522470654.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_18610_1580205637.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_56694_1587195759.gif
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_59597_1333207515.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_71080_1470752933.gif
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_88941_1391003862.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /blank.png
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /index.php
2020-06-10 20:46:19: Done.
2020-06-10 20:46:26: == Sync Started by User Command
2020-06-10 20:46:26: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_110236_1590091708.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_110236_1590091708.jpeg' (2 632)
2020-06-10 20:46:26: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_127240_1590819228.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_127240_1590819228.jpeg' (1 871)
2020-06-10 20:46:26: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_129206_1589724933.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_129206_1589724933.jpeg' (1 987)
2020-06-10 20:46:26: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_132428_1591002407.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_132428_1591002407.jpeg' (3 109)
2020-06-10 20:46:26: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_138729_1589121562.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_138729_1589121562.jpeg' (3 250)
2020-06-10 20:46:26: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_142266_1589690725.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_142266_1589690725.jpeg' (2 901)
2020-06-10 20:46:26: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_145839_1590398266.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_145839_1590398266.jpeg' (1 801)
2020-06-10 20:46:26: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_149018_1588312300.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_149018_1588312300.jpeg' (2 721)
2020-06-10 20:46:26: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_150247_1587213076.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_150247_1587213076.jpeg' (1 642)
2020-06-10 20:46:26: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_151061_1587390257.jpg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_151061_1587390257.jpg' (5 590)
